TANK	DATES	Cer_ug	Clad_ug	e_chl	i_chl
40	2005-05-25	0.0224	0.0339	103.99	1.22
40	2005-05-30	0.0224	0.0339	146.1	2.74
40	2005-06-03	0.0224	0.0339	246.8	8.61
40	2005-06-08	0.0224	0.0339	51.33	0.04
40	2005-06-13	0.224470373	1.220038355	18.38	4
40	2005-06-17	6.884397331	2.033397259	21.63	1.73
40	2005-06-22	6.97418548	3.592335158	26.73	0.62
40	2005-06-27	180.4607433	7.184670316	26.73	0.62
40	2005-07-01	842.7180235	1.084478538	5.03	1.67
40	2005-07-06	1184.877622	0.0339	2.63	0.56
40	2005-07-11	1108.686625	5.422392691	2.21	0.27
40	2005-07-15	601.0955656	17.89389588	3.21	0.37
40	2005-07-20	491.6108175	18.97837442	4.21	0.3
40	2005-07-25	132.7242748	13.82710136	4.96	0.43
40	2005-07-29	283.2723905	31.44987761	24.28	4.15
40	2005-08-03	52.48206641	14.098221	53.12	1.21
40	2005-08-08	76.01628114	0.0339	108.92	3.34
40	2005-08-12	80.86484119	3.524555249	117.01	0.84
40	2005-08-17	83.55848566	7.862469402	127.56	12.21
40	2005-08-22	14.3063086	4.744593605	109.6	7.51
40	2005-08-26	33.0793215	2.711196345	81.1	15.67
40	2005-08-31	51.49196686	5.557952508	138.85	27.44
40	2005-09-05	15.15929601	1.49115799	133.45	2.27
40	2005-09-09	40.43779264	2.236736985	174.11	7.99
40	2005-09-14	196.0502435	16.80941734	140.57	5.65
40	2005-09-19	325.5518646	8.133589036	94.2	0.65
86	2005-05-25	0.0224	0.0339	164.63	31.74
86	2005-05-30	0.0224	0.0339	149.52	8.12
86	2005-06-03	0.410633676	0.0339	118.7	12.56
86	2005-06-08	0.0224	0.0339	41.45	1.18
86	2005-06-13	0.0224	0.0339	32.34	5.98
86	2005-06-17	0.0224	0.0339	55.54	10.54
86	2005-06-22	0.45552775	0.0339	57.1	4.27
86	2005-06-27	0.859574421	0.0339	57.1	4.27
86	2005-07-01	11.96522972	0.0339	20.78	8.04
86	2005-07-06	119.1452883	0.0339	19.51	0.92
86	2005-07-11	0.0224	0.0339	13.84	0.87
86	2005-07-15	0.0224	0.0339	24.72	3.5
86	2005-07-20	0.0224	0.0339	47.7	0.005
86	2005-07-25	0.0224	2.168957076	71.05	2.17
86	2005-07-29	0.359152596	0.0339	78.12	2.66
86	2005-08-03	0.179576298	0.271119635	69.35	4.52
86	2005-08-08	0.359152596	0.542239269	87.83	1.52
86	2005-08-12	2.591897272	0.0339	99.43	1.23
86	2005-08-17	1.257034087	0.0339	98.27	6.73
86	2005-08-22	2.053168378	0.0339	83.55	7.11
86	2005-08-26	0.0224	0.149780085	64.92	1.42
86	2005-08-31	0.0224	0.285339902	67.11	6.65
86	2005-09-05	0.821267351	0.29956017	65.97	2.18
86	2005-09-09	0.0224	0.0339	62.36	1.89
86	2005-09-14	2.360839895	3.5662815	75.19	0.95
86	2005-09-19	0.0224	0.0339	79.02	4.12
80	2005-05-25	0.0224	0.0339	4.87	0.49
80	2005-05-30	0.0224	0.0339	54.29	2.86
80	2005-06-03	0.0224	0.0339	100.28	10.46
80	2005-06-08	0.410633676	0.0339	47.67	6.26
80	2005-06-13	0.45552775	0.135559817	52.79	15.2
80	2005-06-17	3.2784824	0.0339	1.7	0.27
80	2005-06-22	22.09638938	9.594662948	15.89	1.15
80	2005-06-27	71.83384246	0.067779909	15.89	1.15
80	2005-07-01	583.7605686	0.0339	1.66	0.46
80	2005-07-06	129.8044328	4.383118041	3.66	0.14
80	2005-07-11	0.0224	0.0339	4.39	0.38
80	2005-07-15	122.3830337	4.880153422	3.85	0.65
80	2005-07-20	28.15050244	38.79854828	24.67	1.3
80	2005-07-25	31.00223503	31.47831814	43.97	3.86
80	2005-07-29	26.94616439	120.4908799	100.57	1.51
80	2005-08-03	261.9624157	112.8995301	59.42	1.54
80	2005-08-08	349.285095	47.34545962	40.15	8.21
80	2005-08-12	192.7367772	33.34771505	48.58	1.53
80	2005-08-17	471.5939445	39.04122737	78.39	12.27
80	2005-08-22	298.9413158	43.10802189	58.76	6.98
80	2005-08-26	413.918745	281.9644199	55.61	1.36
80	2005-08-31	183.9638867	254.8524565	140.77	1.62
80	2005-09-05	49.27604107	162.6717807	147.91	45.45
80	2005-09-09	223.3847195	333.4771505	98.47	3.05
80	2005-09-14	1553.837828	153.4537132	37.15	1.11
80	2005-09-19	4914.463829	284.133377	25.53	0.68
