TANK,FLUCT,Cer_ug,e_chl,i_chl
11,150,0.022447037,68.19,10.31
11,150,0.022447037,106.94,0.005
11,150,0.022447037,269.96,27.46
11,150,0.022447037,101.03,3.14
11,150,0.410633676,96.96,15.56
11,150,0.45552775,104.64,4.18
11,150,0.022447037,87.06,8.55
11,150,0.45552775,87.06,8.55
11,150,0.022447037,20.21,1.69
11,150,0.022447037,26.31,3.03
11,150,0.022447037,22.63,8.92
11,150,1.687428777,28.63,3.29
11,150,2.964223878,19.97,11.29
11,150,3.644222001,20.28,2.06
11,150,4.086575741,30.35,0.005
11,150,8.565239103,36.51,1.48
11,150,5.196968554,55.64,5.53
11,150,16.96407592,52.26,9.65
11,150,2.046581373,54.29,6.12
11,150,0.022447037,50.24,4.55
11,150,0.022447037,43.74,1.15
11,150,0.821267351,49.06,22.91
11,150,0.179576298,34.99,2.38
11,150,0.044894075,25.41,1.1
11,150,0.022447037,198.29,47.38
11,150,0.134682224,25.99,0.15
19,113,0.022447037,99.14,0.005
19,177,0.022447037,209.47,38.11
19,139,0.022447037,147.74,8.91
19,104,0.022447037,90.38,6.19
19,171,0.022447037,173.72,11.11
19,134,0.022447037,2.52,0.53
19,101,0.022447037,13.74,1.92
19,168,0.545315899,13.74,1.92
19,133,0.410633676,28.89,4.04
19,99,0.044894075,2.92,0.36
19,167,0.022447037,21.09,4.71
19,132,147.9286554,6.05,4.67
19,99,103.9657191,1.07,0.06
19,167,96.22590443,1.25,0.25
19,131,52.36593025,1.62,0.26
19,99,74.67067386,1.74,0.22
19,167,77.36310338,3.42,0.51
19,131,291.5738278,4.75,0.71
19,99,296.1110714,7.11,1.17
19,166,84.50420336,17.91,1.7
19,131,66.19918946,25.34,2.55
19,99,71.1316534,36.85,8.69
19,166,111.7748581,66.29,1.05
19,131,128.1558233,67.65,1.5
19,99,78.42495724,113.39,0.95
19,166,65.54694485,108.36,0.28
26,161,0.022447037,11.6,0.005
26,120,0.022447037,113.3,4.86
26,207,0.022447037,192.92,26.35
26,153,0.022447037,126.61,33.34
26,114,0.022447037,40.25,4.25
26,203,0.866161426,23.59,7.51
26,150,3.323376474,79.84,8.07
26,112,14.51760496,79.84,8.07
26,201,134.3758264,72.43,19.77
26,148,1311.316727,3.96,0.87
26,111,0.022447037,1.36,0.63
26,188,273.6064783,1.58,0.31
26,148,448.7662665,2.08,0.48
26,111,312.4837224,1.96,0.1
26,188,141.375145,1.69,0.26
26,148,225.5132871,2.83,0.16
26,110,179.184651,12.2,3.41
26,188,227.8644073,28.41,0.8
26,148,146.465697,47.93,12.93
26,110,79.41851113,62.93,3.72
26,188,98.02512175,48.31,6.59
26,148,201.315512,119.27,5.62
26,110,216.1558802,114.99,5.9
26,200,182.0183497,110.93,5.78
26,166,6.197812203,155.84,4.52
26,131,111.806066,129.17,6.47
51,150,0.022447037,115.95,3.36
51,150,0.022447037,138.38,39.71
51,150,0.022447037,271.51,12.94
51,150,0.022447037,69.35,6.68
51,150,0.022447037,117.11,13.1
51,150,1.000843649,38.55,3.95
51,150,4.196124905,89.35,0.08
51,150,1.231901027,89.35,0.08
51,150,3.009117953,101.52,5.88
51,150,1.36658325,131.26,0.005
51,150,0.022447037,66.04,5.28
51,150,30.29588888,67.09,6.09
51,150,516.1580255,2.08,3.98
51,150,179.5389437,29.56,3.34
51,150,348.6000465,6.87,0.1
51,150,624.1631869,2.1,0.42
51,150,172.3031958,2.59,0.07
51,150,451.4384228,3.92,0.01
51,150,369.8719047,24.01,0.005
51,150,195.1251801,41.92,3.17
51,150,169.7383493,49.39,5.73
51,150,56.85898258,59.71,16.82
51,150,12.52371963,95.72,0.66
51,150,10.42565717,100,3.04
51,150,2.053168378,46.15,6.32
51,150,0.022447037,27.22,30.54
62,161,0.022447037,45.84,4.57
62,120,0.022447037,62.21,25.52
62,207,0.022447037,107.86,0.005
62,153,0.022447037,12.33,0.005
62,114,1.276795101,47.53,14.08
62,203,4.689959725,67.15,8.28
62,150,33.45286307,117.18,22.99
62,112,848.1649172,117.18,22.99
62,201,230.5264628,0.78,0.08
62,148,347.578608,1,0.11
62,111,0.022447037,0.96,0.005
62,188,117.285573,2.65,1.98
62,148,575.3946668,1.59,0.05
62,111,397.2299178,1.13,0.04
62,188,771.7805259,1.49,0.12
62,148,376.2409791,1.64,0.57
62,110,270.8982543,2.56,0.47
62,188,473.3467311,4.91,0.29
62,148,642.1735127,11.42,1.23
62,110,110.2916265,32.32,1.23
62,188,58.94387102,33.84,2.69
62,148,36.11478748,44.56,3.85
62,110,58.05673362,20.64,0.38
62,200,58.74869079,19.29,1.04
62,166,440.3428088,57.3,8.65
62,131,363.377999,28.36,2.77
75,150,0.022447037,14.75,3.38
75,150,0.022447037,67.7,8.83
75,150,0.022447037,30.58,5.32
75,150,0.022447037,32.19,4.75
75,150,0.500421825,64.88,10.46
75,150,0.179576298,76.07,6.91
75,150,2.643378352,74.38,18.67
75,150,7.96185512,74.38,18.67
75,150,13.98667803,51.83,13.76
75,150,83.19274606,47.53,1.68
75,150,0.022447037,2.64,0.36
75,150,1943.621214,1.6,0.34
75,150,1256.227731,2.56,1.01
75,150,734.9791533,3.76,7.04
75,150,418.4296406,7.93,0.3
75,150,693.0442523,18.95,15.62
75,150,506.92545,23.72,6.61
75,150,382.3895496,51.02,4.32
75,150,904.5145204,129.06,17.71
75,150,99.33382746,169.74,5.07
75,150,323.7013568,170.13,7.71
75,150,93.97391095,169.16,19.67
75,150,132.5795513,189.91,20.76
75,150,39.02094327,179.31,5.41
75,150,64.64663344,203.1,4.82
75,150,17.88050346,202.7,10.57
